"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"GOA"," HURT OF SCs",0,0,0,0,0,0,0,0,1,0,0,0
"GUJARAT"," HURT OF SCs",284,340,305,247,270,255,283,240,241,291,279,236
"HARYANA"," HURT OF SCs",76,61,43,50,52,45,28,39,48,39,28,15
"HIMACHAL PRADESH"," HURT OF SCs",1,3,3,0,1,0,0,0,1,2,0,0
"JAMMU & KASHMIR"," HURT OF SCs",5,2,0,0,0,0,0,0,0,0,0,0
"JHARKHAND"," HURT OF SCs",37,24,9,24,71,54,66,112,86,135,123,171
"KARNATAKA"," HURT OF SCs",181,132,99,94,86,120,165,243,262,214,182,161
"KERALA"," HURT OF SCs",169,162,114,106,129,85,180,144,148,205,293,288
"MADHYA PRADESH"," HURT OF SCs",663,1252,858,890,950,815,664,706,714,877,900,704
"MAHARASHTRA"," HURT OF SCs",48,42,41,53,52,57,78,97,56,77,84,81
"MANIPUR"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA"," HURT OF SCs",380,267,234,241,259,192,309,318,390,376,127,188
"PUNJAB"," HURT OF SCs",14,6,10,12,7,5,4,3,12,13,27,21
"RAJASTHAN"," HURT OF SCs",419,361,632,636,399,435,405,498,557,564,510,568
"SIKKIM"," HURT OF SCs",2,0,1,10,3,0,4,8,8,1,2,0
"TAMIL NADU"," HURT OF SCs",422,251,163,159,142,136,198,147,105,149,206,191
"TRIPURA"," HURT OF SCs",0,0,0,0,14,1,0,1,0,2,10,36
"UTTAR PRADESH"," HURT OF SCs",821,567,172,336,427,398,394,447,403,323,320,281
"UTTARAKHAND"," HURT OF SCs",23,7,48,9,23,6,9,6,12,4,4,9
"WEST BENGAL"," HURT OF SCs",1,0,1,2,2,1,0,1,4,0,7,7
"TOTAL (STATES)"," HURT OF SCs",4547,4491,3965,3824,3847,3760,3814,4134,4322,4343,4247,3855
"A & N ISLANDS"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP"," HURT OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY"," HURT OF SCs",0,0,4,0,0,0,0,0,0,1,0,0
"TOTAL (UTs)"," HURT OF SCs",0,0,4,0,0,0,0,0,0,1,0,0
"TOTAL (ALL-INDIA)"," HURT OF SCs",4547,4491,3969,3824,3847,3760,3814,4134,4322,4344,4247,3855
"ANDHRA PRADESH","OTHER CRIMES AGAINST SCs",1006,1336,1386,1234,1212,1445,1327,1682,1836,1874,1630,1444
"ARUNACHAL PRADESH","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","OTHER CRIMES AGAINST SCs",0,22,21,13,93,103,37,21,0,6,0,2
"BIHAR","OTHER CRIMES AGAINST SCs",240,306,204,274,207,198,377,592,661,536,138,81
"CHHATTISGARH","OTHER CRIMES AGAINST SCs",166,181,383,353,199,214,232,301,204,205,127,107
"GOA","OTHER CRIMES AGAINST SCs",0,1,1,0,0,0,0,2,2,0,2,5
"GUJARAT","OTHER CRIMES AGAINST SCs",500,566,445,558,517,279,316,484,435,390,460,449
"HARYANA","OTHER CRIMES AGAINST SCs",67,91,73,83,97,97,78,101,92,132,135,102
"HIMACHAL PRADESH","OTHER CRIMES AGAINST SCs",56,36,43,38,24,45,0,15,18,21,3,30
"JAMMU & KASHMIR","OTHER CRIMES AGAINST SCs",3,5,2,1,0,0,0,0,0,0,0,1
"JHARKHAND","OTHER CRIMES AGAINST SCs",62,31,22,31,104,108,167,181,254,170,200,177
"KARNATAKA","OTHER CRIMES AGAINST SCs",316,405,460,404,494,471,605,787,719,899,882,1013
"KERALA","OTHER CRIMES AGAINST SCs",127,77,120,113,127,139,177,249,205,258,291,348
"MADHYA PRADESH","OTHER CRIMES AGAINST SCs",2645,4771,3676,2952,2559,2564,2589,1736,1820,1969,1819,1621
"MAHARASHTRA","OTHER CRIMES AGAINST SCs",288,283,290,312,399,470,557,568,547,519,577,544
"MANIPUR","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","OTHER CRIMES AGAINST SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","OTHER CRIMES AGAINST SCs",0,11,20,0,0,0,0,0,0,0,0,0
"ODISHA","OTHER CRIMES AGAINST SCs",620,386,427,494,484,246,380,694,511,32,0,0
"PUNJAB","OTHER CRIMES AGAINST SCs",51,54,56,50,47,65,81,13,9,30,22,24
"RAJASTHAN","OTHER CRIMES AGAINST SCs",1219,1513,2569,2902,2734,3098,3405,3450,4014,3974,4239,4536
"SIKKIM","OTHER CRIMES AGAINST SCs",0,0,3,1,4,1,1,1,1,1,4,1
"TAMIL NADU","OTHER CRIMES AGAINST SCs",1105,993,311,183,161,246,391,215,107,186,107,222
"TRIPURA","OTHER CRIMES AGAINST SCs",1,0,0,0,18,13,6,0,3,8,4,31
